nombre,correo,telefono,direccion
Tech Solutions S.A.,contacto@techsolutions.com,3001234567,Calle 45 #12-34 Bogotá
Innovar Ltda.,info@innovar.com,3017654321,Carrera 10 #45-67 Medellín
GlobalSoft SAS,ventas@globalsoft.com,3029876543,Avenida 30 #20-15 Cali
DataCorp,soporte@datacorp.com,3104567890,Calle 100 #25-50 Barranquilla
RedComunicaciones,contacto@redcom.com,3201239876,Carrera 7 #89-12 Bogotá
EcoLogistics,info@ecologistics.com,3156781234,Calle 50 #30-20 Cartagena
FinanzasPlus,asesoria@finanzasplus.com,3167894321,Avenida 15 #45-90 Bucaramanga
Construcciones Alfa,proyectos@alfa.com,3176543210,Carrera 25 #60-10 Cali
AgroExport,ventas@agroexport.com,3189876543,Calle 80 #12-34 Manizales
Meditech SAS,info@meditech.com,3191234567,Carrera 40 #22-18 Bogotá
